poly,lasso,ridge,Linear
0.518921768,-0.157331485,-0.098012851,-0.157347475
-3.428045181,-0.290275614,-0.131643118,-0.290304973
7.706072723,0.56848276,0.089031577,0.568542413
17.78064469,1.168364846,0.273636094,1.168486322
19.49658583,3.285173294,1.266036165,3.285541141
19.22935045,4.502197992,2.119857098,4.502704703
19.26122587,5.558873136,2.932271504,5.559499693
19.68004513,6.618357931,3.752803999,6.619104794
20.85201645,7.573965666,4.54693677,7.574820624
21.93362086,8.458103443,5.256476393,8.459057177
22.37619043,8.951189138,5.736042702,8.952196089
22.71026959,9.484548998,6.225155576,9.485613595
22.96870572,9.87197437,6.583092438,9.873080002
22.99028534,9.880565059,6.58845906,9.881671551
21.37602244,9.684590834,6.497275094,9.685677432
19.85339245,8.331801826,6.062471187,8.332743424
18.7145112,7.293477517,5.735258837,7.294309665
16.99190359,5.563307701,5.192350256,5.563951312
15.24529663,5.554429599,5.184110317,5.555072321
17.14642996,5.872520666,5.515177848,5.873196939
18.61352671,6.237010892,5.891724962,6.237725882
19.63466057,6.551840612,6.2263517,6.552588827
18.8335261,6.409322107,6.061091689,6.41005568
17.56914927,5.74136409,5.785491714,5.742027822
14.72069131,3.836541003,5.066533152,3.836991632
10.90802925,0.852251564,3.764588354,0.852339611
7.296806179,-2.287537946,2.423488284,-2.287833404
1.092009193,-4.98319954,1.551511372,-4.983803384
-3.205538715,-5.037689955,1.498412184,-5.038299296
-3.357492352,-5.042871932,1.491410505,-5.043481792
-3.195249812,-4.904992866,1.68081192,-4.905588506
-3.143645262,-4.77918961,1.85478367,-4.779772307
-2.998111913,-4.549909003,2.196427987,-4.550467476
-2.737704565,-4.436723955,2.30538531,-4.437270906
-2.403302097,-3.8683134,2.759059997,-3.868799248
-1.640431905,-3.676648067,3.045018932,-3.677113842
-0.926398724,-3.497595219,3.31570676,-3.498042287
-0.786497592,-3.385283341,3.481887025,-3.385718869
-0.688970718,-3.238300515,3.68068414,-3.238720861
-0.837173904,-3.227588075,3.693304873,-3.228007347
-1.180660209,-2.947764023,3.917889201,-2.948154273
-2.171992582,-2.478122825,4.202819391,-2.478463897
-3.371268382,-2.045548009,4.489285015,-2.045843774
-3.528278957,-2.205605254,4.296044052,-2.205917537
-3.673659375,-2.325019315,4.160699172,-2.325343808
-3.226637894,-2.5038215,3.989634893,-2.504164379
-3.365874404,-2.630760312,3.834183126,-2.631116213
-3.48208829,-2.664004554,3.79248197,-2.664363802
-3.421901456,-2.400679554,4.100471829,-2.401011128
-3.343003257,-2.204046244,4.329598205,-2.20435741
-3.341232592,-2.016365078,4.547881816,-2.016656797
-2.44000086,-2.312158057,4.350285364,-2.312480324
