Date,Delta_xt,GOOG,TTWO
9/21/21,-0.590309682,139.0169983,148.8399963
9/22/21,7.834206039,139.6464996,145.7200012
9/23/21,0.711778896,140.9385071,145.25
9/24/21,-0.606175186,141.8265076,146.6799927
9/27/21,-0.355751695,142.6329956,147.3600006
9/28/21,-0.609434697,141.5010071,148.6499939
9/29/21,-0.431551375,136.1840057,149.1100006
9/30/21,-0.64377712,134.5209961,151.6000061
10/1/21,-0.993161398,133.2655029,154.0700073
10/4/21,-1.020150629,136.4624939,158.5399933
10/5/21,-1.510096665,133.7649994,157.1300049
10/6/21,-2.217002064,136.177002,162.0200043
10/7/21,-2.460360135,137.3540039,165.4400024
10/8/21,-6.789729095,139.1855011,170.7700043
10/11/21,0.957809667,140.0559998,173.6900024
10/12/21,0.719771091,138.8475037,170.7200012
10/13/21,0.415342181,136.7129974,171.3500061
10/14/21,0.471902556,137.8999939,170.6000061
10/15/21,-0.516388958,141.4120026,169.3800049
10/18/21,0.941764889,141.6750031,170.5599976
10/19/21,-1.202105161,142.960495,171.75
10/20/21,-2.171559649,143.8220062,172.0399933
10/21/21,-1.28797342,142.4149933,173.5
10/22/21,-1.370640841,142.7805023,182.0599976
10/25/21,-0.244540622,138.625,180.75
10/26/21,0.172320081,138.772995,182.9900055
10/27/21,0.1851787,139.6719971,182.5399933
10/28/21,0.286683035,146.4275055,180.9100037
10/29/21,0.35878176,146.1289978,181.1100006
11/1/21,0.270915823,148.2704926,181
11/2/21,-3.117351013,143.7740021,183.8000031
11/3/21,-7.823464638,145.8630066,183.9400024
11/4/21,-15.68802306,146.7899933,184.1600037
11/5/21,-0.884623194,148.6829987,192.9100037
11/8/21,-3.26618657,149.2409973,187.1999969
11/9/21,-1.977257865,149.3515015,185.1399994
11/10/21,83.87094863,149.2485046,186.8099976
11/11/21,-1.51730801,146.6260071,182.75
11/12/21,-6.32636506,146.7480011,185.7100067
11/15/21,39.32704277,149.6454926,187.8300018
11/16/21,-2.659889945,149.3880005,177.6000061
11/17/21,-0.021509738,149.076004,179.6900024
11/18/21,5.055882068,149.0619965,177.0399933
11/19/21,-1.515799515,150.7089996,174
11/22/21,-2.649009701,149.9524994,170.5
11/23/21,1.541917248,147.0785065,164.9100037
11/24/21,0.962102073,146.7570038,165.1300049
11/26/21,0.084028835,146.7174988,164.3099976
11/29/21,-0.173185273,142.8059998,169.6600037
11/30/21,-27.09614153,146.1139984,169.6000061
12/1/21,-0.380632645,142.4519958,165.8800049
12/2/21,1.374896116,141.6179962,160.3500061
12/3/21,-21.64942297,143.7765045,161.3800049
12/6/21,-0.502951435,142.5204926,165.7799988
12/7/21,2.845417412,143.7964935,164.3999939
12/8/21,-3.852406018,148.036499,167.2899933
12/9/21,-0.422689461,148.7205048,170.5500031
12/10/21,0.24722045,148.1060028,166.3800049
12/13/21,-0.311557831,148.6750031,165.6000061
12/14/21,-0.381467035,146.7044983,166.2599945
12/15/21,-0.548798282,144.9705048,167.6300049
12/16/21,1.311276562,147.3684998,171.1499939
12/17/21,1.430476334,144.838501,172.7400055
12/20/21,-0.804418153,142.8029938,175.7400055
12/21/21,1.175983456,142.4015045,178.3500061
12/22/21,0.23308499,144.2205048,179.4400024
12/23/21,-0.76201507,146.9490051,177.6199951
12/27/21,-0.570294054,147.1425018,177.9600067
12/28/21,-0.533455672,148.0639954,179.5599976
